name,genres,year,country,producer,imdb_rating,link
Клоун-убийца,"ужасы,, ,мистический, ,слэшер",2000,США,Крейг Рос мл.,2.7,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%BE%D1%83%D0%BD-%D1%83%D0%B1%D0%B8%D0%B9%D1%86%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2000)"
Жертва дьявола,фильм ужасов,2000,,Брэдфорд Мэй,3.4,https://ru.wikipedia.org/wiki/%D0%96%D0%B5%D1%80%D1%82%D0%B2%D0%B0_%D0%B4%D1%8C%D1%8F%D0%B2%D0%BE%D0%BB%D0%B0
Демоны,фильм ужасов,2000,Новая Зеландия,Гленн Стэндринг,5.4,"https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BC%D0%BE%D0%BD%D1%8B_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2000)"
Голова-машина,"фильм ужасов,, ,комедия",2000,США,Леонард Мёрфи ,4.0,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%B0-%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B0
Дракула 2000,Фильм о вампирах,1972,США,Патрик Люссье,4.9,https://ru.wikipedia.org/wiki/%D0%94%D1%80%D0%B0%D0%BA%D1%83%D0%BB%D0%B0_2000
Вышибала,"триллер,, ,драма",2000,США,Джордж Ромеро,5.3,"https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D1%88%D0%B8%D0%B1%D0%B0%D0%BB%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2000)"
Городские легенды 2,слэшер,2000,США,Джон Оттман,4.4,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B8%D0%B5_%D0%BB%D0%B5%D0%B3%D0%B5%D0%BD%D0%B4%D1%8B_2
Врата ада,"триллер,ужасы,мистика",2000,США,Майкл Б. Драксман,4.0,"https://ru.wikipedia.org/wiki/%D0%92%D1%80%D0%B0%D1%82%D0%B0_%D0%B0%D0%B4%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2000)"
Букет,фэнтези,2000,,Франтишек Антонин Брабец,7.1,https://ru.wikipedia.org/wiki/%D0%91%D1%83%D0%BA%D0%B5%D1%82_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Блок ада 13,боевик,2000,,Пол Тэлбот,4.1,https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%BE%D0%BA_%D0%B0%D0%B4%D0%B0_13
